textDisplay,text_clean,text_processed,dominant_topic,sentiment_polarity,sentiment_label,likeCount
Makasih berkat anda gua jadi bodoh amat kemarin,makasih berkat bodoh kemarin,makasih berkat kamu saya jadi bodoh amat kemarin,1,-1,Negatif,0
Anak abah CS DAN BANTENG  pasti pada emosi 😅 karena rencana GAGAL !!!,anak abah banteng emosi rencana gagal,anak abah cs dan banteng pasti pada emosi 😅 karena rencana gagal !!!,3,-1,Negatif,0
Tau enggak china pki....tai china bangsat....brengsek....gua tumbalin loe china babi.....,tau china pki tai china bangsat brengsek tumbalin china babi,tau tidak china pki....tai china bangsat....brengsek....gua tumbalin kamu china babi.....,3,-1,Negatif,0
Harusnya elu susul tuh si atheis  LEE KUAN YEW....BIN POOR-LION,elu susul tuh atheis lee kuan yew bin poor lion,harusnya elu susul tuh si atheis lee kuan yew....bin poor-lion,5,-1,Negatif,0
"Terlalu banyak otak kosong dan terlalu banyak penjilat di negara ini, sebanyak apapun bersuara tidak akan ada pengaruhnya",otak kosong penjilat negara apapun bersuara pengaruhnya,"terlalu banyak otak kosong dan terlalu banyak penjilat di negara ini, sebanyak apapun bersuara tidak akan ada pengaruhnya",1,-1,Negatif,1
"Bang ferry, gimana reaksi mu dengan ruu kuhp yang disahkan?",ferry gimana reaksi ruu kuhp disahkan,"bang ferry, gimana reaksi mu dengan ruu kuhp yang disahkan?",3,-1,Negatif,0
Apakah ada kolerasi denganpengalihan isu ijasah?,kolerasi denganpengalihan isu ijasah,apakah ada kolerasi denganpengalihan isu ijasah?,4,0,Netral,0
Asalamualaikum warohmatulohi wabarakatuh,asalamualaikum warohmatulohi wabarakatuh,asalamualaikum warohmatulohi wabarakatuh,4,0,Netral,0
"Naikin cukai dengan tujuan nurunin pecandu rokok, nyatanya jumlah perokok nya ga menurun, mereka cuman beralih ke rokok ilegal dll 😂",naikin cukai tujuan nurunin pecandu rokok perokok menurun cuman beralih rokok ilegal dll,"naikin cukai dengan tujuan nurunin pecandu rokok, nyatanya jumlah perokok nya tidak menurun, mereka cuman beralih ke rokok ilegal dll 😂",1,-1,Negatif,1
Pasti &quot;geter&quot; Mereka melihat video ini 😂,quot geter quot video,pasti &quot;geter&quot; mereka melihat video ini 😂,1,-1,Negatif,0
"wajib anda ketahui(selaku orang yang GK jelas agamanya apa, apakah kau orang yang kafir kepada Allah Tuhan yang Maha Esa/non-muslim?, atau seorang muslim/beragama Islam?, ayo jawab dengan jujur ), imani, dan amalkan dengan cara masuk agama Islam(membaca 2 kalimat syahadat dengan hati dan lisan) dan mengamalkan agama Islam dengan baik dan benar(agar anda bisa masuk surga-Nya Allah Tuhan yang Maha Esa).<br><br>hanya agama Islam satu-satunya agama yang benar/diterima/diridhoi oleh Allah Tuhan yang Maha Esa, dan hanya agama Islam satu-satunya agama yang bisa membawa penganutnya masuk kedalam surga-Nya Allah Tuhan yang Maha Esa apabila mati dalam keadaan beragama Islam/muslim(ini sesuai dengan Firman Allah Tuhan yang Maha Esa surat Ali-Imran ayat 19), karena hanya agama Islam agama di dunia ini yang mengajarkan penyembahan hanya kepada Allah Tuhan yang Maha Esa &quot; Tidak ada Tuhan/sesembahan kecuali hanya Allah Tuhan yang Maha Esa &quot;. Dan agama selain Islam itu tidak akan pernah diterima oleh Allah Tuhan yang Maha Esa dan diakhirat akan menjadi orang yang merugi kalau mati dalam keadaan kafir kepada Allah Tuhan yang Maha Esa/non-muslim, dan diakhirat tempat kembali mereka adalah neraka Jahannam dan kekal/abadi selama-lamanya didalamnya(ini sesuai dengan Firman Allah Tuhan yang Maha Esa surat Al-Bayyinah ayat 6, surat Ali-Imran ayat 85) karena agama selain Islam itu pasti mengajarkan penyembahan kepada selain Allah Tuhan yang Maha Esa/menyekutukan Allah/melakukan kesyirikan (syirik besar) /kekafiran. Dan orang yang mati dalam keadaan munafik(orang munafik adalah orang ngaku-ngaku beragama Islam/Pura-pura beragama Islam, tapi sebenarnya hati dia itu kafir kepada Allah Tuhan yang Maha Esa, benci kepada agama Islam, tidak beriman kepada Allah Tuhan yang Maha Esa, bahkan punya rencana buruk atau jahat /makar ke agama Islam dan umat Islam yang dia sembunyikan didalam hati dan pikiran/benaknya, dia pura-pura beragama Islam/muslim diantara untuk kepentingan status sosial, ekonomi, atau untuk memata-matai agama Islam(mencari kesalahan agama Islam, untuk menghancurkan agama Islam dari dalam, padahal faktanya nggak ada 1pun kesalahan didalam agama Islam, jadi itu sangat mustahil dilakukan oleh orang munafik dan kafir itu), dan umat Islam(mencari celah kelemahan umat Islam untuk dihancurkan dari dalam dengan cara mengadu domba umat Islam pada hal yang tidak perlu menjadi permasalahan karena ada solusi/jalan keluar dari kasalahan itu atau dari luar dengan cara memberikan informasi kelemahan umat Islam itu ke temannya yaitu orang kafir lalu dari kelemahan umat Islam itu di seraqng yang umat Islam dari luar dengan cara diperangi seperti kejadian di Palestina oleh tentara kafir Yahudi itu,  nah ornag yang mati dalam keadaan munafik itu tempat kembalinya di akhirat adalah kerak neraka/neraka paling bawah dan kekal/abadi selama-lamanya di dalamnya(ini sesuai dengan Firman Allah Tuhan yang Maha Esa surat An-Nisa ayat 145)",wajib ketahui orang agamanya orang kafir allah tuhan maha esa non muslim muslim beragama islam ayo jujur imani amalkan masuk agama islam membaca kalimat syahadat hati lisan mengamalkan agama islam masuk surga allah tuhan maha esa agama islam satunya agama diterima diridhoi allah tuhan maha esa agama islam satunya agama membawa penganutnya masuk kedalam surga allah tuhan maha esa mati beragama islam muslim sesuai firman allah tuhan maha esa surat ali imran ayat agama islam agama dunia mengajarkan penyembahan allah tuhan maha esa quot tuhan sesembahan kecuali allah tuhan maha esa quot agama islam diterima allah tuhan maha esa diakhirat orang merugi mati kafir allah tuhan maha esa non muslim diakhirat neraka jahannam kekal abadi didalamnya sesuai firman allah tuhan maha esa surat bayyinah ayat surat ali imran ayat agama islam mengajarkan penyembahan allah tuhan maha esa menyekutukan allah kesyirikan syirik kekafiran orang mati munafik orang munafik orang ngaku ngaku beragama islam pura pura beragama islam hati kafir allah tuhan maha esa benci agama islam beriman allah tuhan maha esa rencana buruk jahat makar agama islam umat islam sembunyikan didalam hati pikiran benaknya pura pura beragama islam muslim kepentingan status sosial ekonomi memata matai agama islam mencari kesalahan agama islam menghancurkan agama islam faktanya nggak kesalahan didalam agama islam mustahil orang munafik kafir umat islam mencari celah kelemahan umat islam dihancurkan mengadu domba umat islam permasalahan solusi jalan kasalahan informasi kelemahan umat islam temannya orang kafir kelemahan umat islam seraqng umat islam diperangi kejadian palestina tentara kafir yahudi ornag mati munafik kembalinya akhirat kerak neraka neraka kekal abadi dalamnya sesuai firman allah tuhan maha esa surat nisa ayat,"wajib kamu ketahui(selaku orang yang tidak jelas agamanya apa, apakah kamu orang yang kafir kepada allah tuhan yang maha esa/non-muslim?, atau seorang muslim/beragama islam?, ayo jawab dengan jujur ), imani, dan amalkan dengan cara masuk agama islam(membaca 2 kalimat syahadat dengan hati dan lisan) dan mengamalkan agama islam dengan baik dan benar(agar kamu bisa masuk surga-nya allah tuhan yang maha esa). hanya agama islam satu-satunya agama yang benar/diterima/diridhoi oleh allah tuhan yang maha esa, dan hanya agama islam satu-satunya agama yang bisa membawa penganutnya masuk kedalam surga-nya allah tuhan yang maha esa apabila mati dalam keadaan beragama islam/muslim(ini sesuai dengan firman allah tuhan yang maha esa surat ali-imran ayat 19), karena hanya agama islam agama di dunia ini yang mengajarkan penyembahan hanya kepada allah tuhan yang maha esa &quot; tidak ada tuhan/sesembahan kecuali hanya allah tuhan yang maha esa &quot;. dan agama selain islam itu tidak akan pernah diterima oleh allah tuhan yang maha esa dan diakhirat akan menjadi orang yang merugi kalau mati dalam keadaan kafir kepada allah tuhan yang maha esa/non-muslim, dan diakhirat tempat kembali mereka adalah neraka jahannam dan kekal/abadi selama-lamanya didalamnya(ini sesuai dengan firman allah tuhan yang maha esa surat al-bayyinah ayat 6, surat ali-imran ayat 85) karena agama selain islam itu pasti mengajarkan penyembahan kepada selain allah tuhan yang maha esa/menyekutukan allah/melakukan kesyirikan (syirik besar) /kekafiran. dan orang yang mati dalam keadaan munafik(orang munafik adalah orang ngaku-ngaku beragama islam/pura-pura beragama islam, tapi sebenarnya hati dia itu kafir kepada allah tuhan yang maha esa, benci kepada agama islam, tidak beriman kepada allah tuhan yang maha esa, bahkan punya rencana buruk atau jahat /makar ke agama islam dan umat islam yang dia sembunyikan didalam hati dan pikiran/benaknya, dia pura-pura beragama islam/muslim diantara untuk kepentingan status sosial, ekonomi, atau untuk memata-matai agama islam(mencari kesalahan agama islam, untuk menghancurkan agama islam dari dalam, padahal faktanya nggak ada 1pun kesalahan didalam agama islam, jadi itu sangat mustahil dilakukan oleh orang munafik dan kafir itu), dan umat islam(mencari celah kelemahan umat islam untuk dihancurkan dari dalam dengan cara mengadu domba umat islam pada hal yang tidak perlu menjadi permasalahan karena ada solusi/jalan keluar dari kasalahan itu atau dari luar dengan cara memberikan informasi kelemahan umat islam itu ke temannya yaitu orang kafir lalu dari kelemahan umat islam itu di seraqng yang umat islam dari luar dengan cara diperangi seperti kejadian di palestina oleh tentara kafir yahudi itu, nah ornag yang mati dalam keadaan munafik itu tempat kembalinya di akhirat adalah kerak neraka/neraka paling bawah dan kekal/abadi selama-lamanya di dalamnya(ini sesuai dengan firman allah tuhan yang maha esa surat an-nisa ayat 145)",5,-1,Negatif,0
Lo buzzerr Agen nya Anis dan si  Raja Minyak Fix no debat 👍,buzzerr agen anis raja minyak fix debat,lo buzzerr agen nya anis dan si raja minyak fix no debat 👍,3,0,Netral,0
"Bodoh cipkon nya terendus , malah jadi marah ya 🤣🤣😅😅😂😂",bodoh cipkon terendus marah,"bodoh cipkon nya terendus , malah jadi marah ya 🤣🤣😅😅😂😂",5,-1,Negatif,0
Oh ternyata oke tks pengetahuannya bang Ferry.  Sekarang kita semua melek tentang behind the scence nya semua kerusuhan ini. Sehat selalu bang lanjutkan...!!!,oke tks pengetahuannya ferry melek behind the scence kerusuhan sehat lanjutkan,oh ternyata oke tks pengetahuannya bang ferry. sekarang kita semua melek tentang behind the scence nya semua kerusuhan ini. sehat selalu bang lanjutkan...!!!,3,1,Positif,0
"Bang ferry, kenapa ya ?pas waktu demo..<br>Gak ada satu pun ormas yang ikutan demo.. bukan nya ini jadi peluang besar untuk jadi di garda terdepan.?<br>Atau hanya untuk acara hajatan aja,mereka selalu ada.. ,!",ferry pas demo ormas ikutan demo peluang garda terdepan acara hajatan,"bang ferry, kenapa ya ?pas waktu demo.. tidak ada satu pun ormas yang ikutan demo.. bukan nya ini jadi peluang besar untuk jadi di garda terdepan.? atau hanya untuk acara hajatan aja,mereka selalu ada.. ,!",4,1,Positif,0
Pembahasannya bisa di ganti gak bang bahas gimana indonesia itu hanya bahas isu yang gak penting sedangkan negara maju lain udah bahas bagaimana mencari energi terbarukan untuk dptkan pendapatan devisa,pembahasannya ganti bahas gimana indonesia bahas isu negara maju bahas mencari energi terbarukan dptkan pendapatan devisa,pembahasannya bisa di ganti tidak bang bahas gimana indonesia itu hanya bahas isu yang tidak penting sedangkan negara maju lain sudah bahas bagaimana mencari energi terbarukan untuk dptkan pendapatan devisa,1,-1,Negatif,0
