Topik,Jenis Emosi,Contoh Komentar
Topik 1,Happy (Senang),Makasih berkat anda gua jadi bodoh amat kemarin
Topik 1,Happy (Senang),Pasti &quot;geter&quot; Mereka melihat video ini 😂
Topik 1,Happy (Senang),"Ambo doakan uda ferri selalu dan selallu dalam lindungan ALLAH SWT, UDA ALAH mewakilkan suaro awak awak urang tertindas... Jan lupo zikir di seriap langkah perjalanan uda, agar uda selalu di jaga oleh para malaikat ALLAH SWT. SALAM dari urang minang di padang untuak uda wassalamu&#39;alaikum 🙏"
Topik 1,Happy (Senang),"Tetap sabar dan tenang bg, cerdaskan publik tetap hati2 jangan sampai terpancing geng solo🎉"
Topik 1,Happy (Senang),Keren bang<br>Mari kita jaga tanah air kita
Topik 1,Anger (Marah),"Terlalu banyak otak kosong dan terlalu banyak penjilat di negara ini, sebanyak apapun bersuara tidak akan ada pengaruhnya"
Topik 1,Anger (Marah),Pembahasannya bisa di ganti gak bang bahas gimana indonesia itu hanya bahas isu yang gak penting sedangkan negara maju lain udah bahas bagaimana mencari energi terbarukan untuk dptkan pendapatan devisa
Topik 1,Anger (Marah),Saudara saudaraku sebangsa setanah air<br>Kita rakyat<br><br>Jangan di permainkan oleh oknum oknum di dalam istitusi besar bahkan pensiunan<br>Yg rakus dan sengaja <br>Mencari gara gara dengan kita rakyat.<br>HEBAT SAUDARAKU FERRY<br>ANDA LEBIH MERAH PUTIH<br>dibanding<br>Mereka yg saat ini menyerangmu dan merasa paling merah putih
Topik 1,Anger (Marah),KASIH PAHAM  ORANG² YANG SUKA  MEMANCING  DI AIR  KERUH  !!!!
Topik 1,Anger (Marah),DARI AWAL GW SIH DAH NGEMAKSUD KESITU😂 dan lebih sadis oknum yang nubruk ojol kemarin udah punya trek rekord kriminal penyiram novel baswedan😂
Topik 1,Sadness (Sedih),"Naikin cukai dengan tujuan nurunin pecandu rokok, nyatanya jumlah perokok nya ga menurun, mereka cuman beralih ke rokok ilegal dll 😂"
Topik 1,Sadness (Sedih),Inilah tanda tanda dajal
Topik 1,Sadness (Sedih),Death Note &quot;L&quot;
Topik 1,Sadness (Sedih),"Ajaran baru dalam medsos adalah &quot;Framing&quot;, dimana &quot;Framing&quot; dibangun sbg sebuah kebenaran, bukan atas dasar &quot;Fakta&quot;. Dan celakanya penyakit &quot;Framing&quot; di medsos sangat cepat menular menjadi pandemi. Mengalahkan covid, lebih mematikan. Bisa meruntuhkan Pemerintahan atau bahkan disintegrasi. Influencer, media podcast dan TV yg terlalu menikmati ketenaran, sering kali tanpa sadar terpeleset narasi dg Framing yg menghasut.<br><br><br>Note : Fakta harus mengandung unsur Apa, siapa, kapan, dimana? Baru mudah ditelusuri faktor kenapa dan bagaimana nya.<br><br><br>Kebebasan berbicara bukan sesuatu yg &quot;spekulatif&quot;, tetapi harus didasari &quot;Fakta&quot;. Celakanya kesimpulan spekulatif, oleh media, sering dijadikan pembenaran sbg kebebasan &quot;Berpraduga&quot;. Praduga yg spekulatif itu diulang2 terus dlm berbagai kesempatan, maka shg dianggap menjadi &quot;Framing&quot;, atau kebenaran oleh khalayak.<br><br><br>Maka saya harap aparat segera mengamankan manusia2 seperti itu, daripada menjadi pandemi liar berbahaya bagi mental rakyat dan bangsa."
Topik 1,Sadness (Sedih),Percuma cari dalang nya klou ngak berani tangkap 😇🤣😂😅😆
Topik 1,Fear (Takut),"Benar Senjata kita coma otak, makanya jangan mudah percaya siapain, Suasana seperti ini bayak yang ambil kesempatan buat memecah belah"
Topik 1,Fear (Takut),"Saya menduga kamu tidak melakukan timeline reconstruction, cluster and pattern detection, dan cross verification karena kamu punya motiv tertentu atau memang kamu tidak paham."
Topik 1,Fear (Takut),"Klo gw data dan search demonstrasi kemarin banyak susupin, mulai dari oligarki, partai, geng oslo, mafia migas, para korup dan masih banyak lagi. Masing&quot; Punya kepentingan untuk menjatuhkan pak wowo. Sampai gw kasian sama pak wowo di gangbang di segala arah. 😢 ngeri banget negara ini sumpah"
Topik 1,Fear (Takut),"sampai sekarang masih geli sama tentara, apalagi yang double job, ini kaya ditempat gw jadi chief security, dateng suka&quot;nya. dan dapet gaji full cuik. apalagi gatel banget kemarin tiba&quot; turun ke demo"
Topik 1,Fear (Takut),bang yang biasanya di tiktok komen abis WD  rezeki hari ini gimana ya bikin resah gabisa di tangkep kah?
Topik 1,Love (Cinta/Suka),Lah iyaaa bener juga lu bg baru nyadar gua 😂
Topik 1,Love (Cinta/Suka),Pak Prabowo kami cinta anda
Topik 1,Love (Cinta/Suka),Senjata kita adalah otak dan hati
Topik 1,Love (Cinta/Suka),Bener kata jeremi polin
Topik 1,Love (Cinta/Suka),"Bang, ini saatnya anda berkomunikasi intensif dengan mbak salsa"
Topik 2,Anger (Marah),"Negara Indnesia akan selalu Gaduh  karena  masyarakat tidak terasa kalau demokrasi Indonesia sekarang sudah menjadi Demokrasi liberal  semanjak Akhir SBY dan Awal Jokowi sampai sekarang bertambah Parah  Negara di kuasai Oligarky melalui Ekonomi dan Hukum sudah tidak berguna lagi karena  Hukum masih bisa di beli , Saya tahu   siapa di balik kerusuhan itu  dan Tujuannya adalah mempercepat gibran menjadi RI 1, dan mohon dalam situasi yang sudah Kondusif ini  kepada Bapak Prabowo agar secepatnya  penggantian Kapolri  Listiyo Sigit  , karena Tugas Kepolisian sudah  bukan mengayomi Masyarakat lagi tapi sudah 90 persen ke Politik , KEMABL:IKAN DEMOKRASI INDONESIA   SEPERTI DAHULU   BUANG DEMOKRASI LIBERAL , TERIMAKASIH MAS FERRY  SEMUA MASYARAKAT AKHIRNYA MENJADI CERDAS"
Topik 2,Anger (Marah),"BRICS, Cina di palestina, guyur 200T buat program Prabowo, anti IMF, hilang tuntutan pemakzulan, itu yg sekarang terjadi setelah demo.<br>Koq aneh ya, emang itu yg dituntut rakyat ??!!!!<br>😂😂😂😂"
Topik 2,Anger (Marah),Siapa yg ajukan darurat militer... Masyarakat sudah tahu...
Topik 2,Anger (Marah),Gerombolan tersebut adalah penghianat bangsa
Topik 2,Anger (Marah),"Klo saya lebih baik darurat militer,keadaan negara kita genting karna koruptor😂emang darurat militer tni mau bunuh rakyat.klo tujuan nya baik,hrs di dukung.polisi gak sanggup membasmi pejahat bangsa,tni yg hrs harus turun membasmi penjahat negara."
Topik 2,Love (Cinta/Suka),Km jg bertanggung jawab sob. Ingat perlu duduk dan berbicara dengan Tuhan tuk bisa jujur dengan keberan yg hakiki
Topik 2,Love (Cinta/Suka),Anda lbh layak d sebut wakil rakyat<br>Merdeka
Topik 2,Love (Cinta/Suka),"gue awalnya dulu benci elo bro, gue kira lo cuma yaping, bulshit seperti kreator yg lain. Tapi mulai hri ini gw ubah pandangan gw tentang diri lo, serius gw angkat topi buat perjuangan lo selama ini. Respek untukmu bro."
Topik 2,Love (Cinta/Suka),Kami butuh lu buat mengisi otak kami bang agar tepat dan akurat
Topik 2,Love (Cinta/Suka),"Intinya semua mesti berbenah, dari pemerintah maupun rakyatnya."
Topik 2,Sadness (Sedih),bosnya kasihan juga ya mas..🤣
Topik 2,Sadness (Sedih),"Presiden 🇮🇩 dijadwalkan berpidato di sidang umum PBB 23 SEPTEMBER ini, lalu sblm berangkat Presiden merencanakan darurat militer di 🇮🇩 awal SEPTEMBER ini.<br><br>Kemungkinannya hanya 2, Prabowo benar2 gila atau Ferry benar2 sesat (&amp; menyesatkan)"
Topik 2,Sadness (Sedih),Kalo fery ini gak muncul INDONESIA SUDAH SAMA SEPERTI NEPAL SEKARANG<br>DARURAT MILITER😢
Topik 2,Sadness (Sedih),Otak teroris
Topik 2,Sadness (Sedih),Mari fokus ke kebijakan ke pemerintah
Topik 2,Happy (Senang),"Pejuang kemerdekaan sdh gugur Ind merdeka, saat mensejahterakan rakyatnya butuh another next heroes agar merdeka dlm pemikiran dan aspirasi. Kebranian &amp; intelegensia Ferry akan tetap tergaung walau dihentikan secara fisik oleh penguasa. Go forth bro"
Topik 2,Happy (Senang),❤❤❤rakyat mulai bebas bicara
Topik 2,Happy (Senang),Peristiwa Rakyat Nepal sbgai inspirasi Rakyat negara manapun yang dipimpin Rezim Mafia Koruptor
Topik 2,Happy (Senang),Gw ngeliat spirit alm bang Munir SH di Lo fer 👍
Topik 2,Happy (Senang),Cerdas sekali dan tentunya demo akan banyak menambah kerusakan dan Alhamdulillah semua sadar klo itu semua rekayasa
Topik 2,Fear (Takut),"cek nepal bang, itulah yang terjadi jika darurat militer terjadi, banyak manyarakat tewas"
Topik 2,Fear (Takut),"bang ferry😂serius gw lihat video lu yang ini dan yang di berita² jadi error (gangguan gitu), gila sih niat kali kepentingan tertentu bisa ngaruhin ytb"
