Source,Target,Type,Id,Label,Weight
Knowledge9s,apocalypsekutuura4021,Directed,0,,1
apocalypsekutuura4021,apocalypsekutuura4021,Directed,1,,1
apocalypsekutuura4021,Knowledge9sShe,Directed,2,,1
AWEMBAWE,Purnomojokk,Directed,3,,1
sukinemsukinem477,Purnomojokk,Directed,4,,1
sukinemsukinem477,AWEMBAWE,Directed,5,,1
PaijoedanYT,Andoel-g4h,Directed,6,,1
Andoel-g4h,Andoel-g4h,Directed,7,,1
sukinemsukinem477,Selasarobbykamis,Directed,8,,1
sukinemsukinem477,RockySmash-l2n,Directed,9,,1
DnD_91,FimalMalfie,Directed,10,,1
DnD_91,ghanyTech,Directed,11,,1
MrMann-1M,ghanyTech,Directed,12,,1
MrMann-1M,DnD_91,Directed,13,,1
Vaanzzzz-z,cr_one416,Directed,14,,1
jgsatru,cr_one416,Directed,15,,1
cr_one416,cr_one416,Directed,16,,1
cr_one416,Vaanzzzz-zbukannya,Directed,17,,1
cr_one416,jgsatruklo,Directed,18,,1
Netizencritics,MuhamadNarno-c1j,Directed,19,,1
Vaanzzzz-z,MuhamadNarno-c1j,Directed,20,,1
Vaanzzzz-z,tukangmendem-w4o,Directed,21,,1
Vaanzzzz-z,DedeRohmat-qf7um,Directed,22,,1
LudovicoEuinaudi,nindyabay,Directed,23,,1
nindyabay,nindyabay,Directed,24,,1
nindyabay,LudovicoEuinaudiSalah,Directed,25,,1
LudovicoEuinaudi,nindyabayhaaa,Directed,26,,1
nindyabay,LudovicoEuinaudiFerry,Directed,27,,1
Shafira-n9y,jonamboy9357,Directed,28,,1
yoedsnugraha265,supriyadialif7301,Directed,29,,1
Shafira-n9y,supriyadialif7301,Directed,30,,1
Shafira-n9y,yoedsnugraha265lah,Directed,31,,1
marthenpadanglomo3757,supriyadialif7301,Directed,32,,1
boyujang8537,supriyadialif7301,Directed,33,,1
boyujang8537,marthenpadanglomo3757emang,Directed,34,,1
marthenpadanglomo3757,boyujang8537,Directed,35,,1
supriyadialif7301,supriyadialif7301,Directed,36,,1
supriyadialif7301,boyujang8537keturunan,Directed,37,,1
supriyadialif7301,marthenpadanglomo3757berkedok,Directed,38,,1
yoedsnugraha265,marthenpadanglomo3757monyet,Directed,39,,1
yoedsnugraha265,marthenpadanglomo3757kau,Directed,40,,1
apriliandyy,lilihmuslih8788,Directed,41,,1
yoedsnugraha265,lilihmuslih8788,Directed,42,,1
apriliandyy,donebossboss737,Directed,43,,1
BerlianKerasDariMorioh,supriyadialif7301,Directed,44,,1
supriyadialif7301,BerlianKerasDariMorioh,Directed,45,,1
apriliandyy,supriyadialif7301,Directed,46,,1
tp44-b5v,choongchoong4338,Directed,47,,1
regamara5448,JNabila-i1j,Directed,48,,1
regamara5448,Xxx1818-r5t,Directed,49,,1
regamara5448,dianindri4825,Directed,50,,1
regamara5448,ryanaja-h9b,Directed,51,,1
Asplanned69,supriyadialif7301,Directed,52,,1
regamara5448,supriyadialif7301,Directed,53,,1
supriyadialif7301,Asplanned69akun,Directed,54,,1
royong7906,rajata_mahendra,Directed,55,,1
gudangfilm7867,rajata_mahendra,Directed,56,,1
gudangfilm7867,royong7906nte,Directed,57,,1
royong7906,gudangfilm7867,Directed,58,,1
calvfinka,muhamadsafii7952,Directed,59,,1
Pak_Ahmad,GarudaNKRI-z7y,Directed,60,,1
habibfitra7207,yoyoksuroso-b9r,Directed,61,,1
habibfitra7207,DenaRudiana-z8p,Directed,62,,1
DenaRudiana-z8p,DenaRudiana-z8p,Directed,63,,1
DenaRudiana-z8p,habibfitra7207,Directed,64,,1
muafa1499,jdhaoapfufuend,Directed,65,,1
jdhaoapfufuend,jdhaoapfufuend,Directed,66,,1
jdhaoapfufuend,muafa1499,Directed,67,,1
eoreh,Jegukneo,Directed,68,,1
UcokAlok-o7v,ferryirwandi,Directed,69,,1
Knowledge9s,mahakachannel65,Directed,70,,1
mahakachannel65,mahakachannel65,Directed,71,,1
mahakachannel65,Knowledge9sapa,Directed,72,,1
Idontknowanythung,doankzadule8335,Directed,73,,1
sakti3901,doankzadule8335,Directed,74,,1
sakti3901,Idontknowanythung,Directed,75,,1
SukaAnimeOnePiece,doankzadule8335,Directed,76,,1
Idontknowanythung,phaphahebalova5995,Directed,77,,1
sakti3901,phaphahebalova5995,Directed,78,,1
Idontknowanythung,WawanSaputra-f4y,Directed,79,,1
Idontknowanythung,togogmahesa617,Directed,80,,1
Idontknowanythung,imanuelnully5886,Directed,81,,1
Idontknowanythung,panembahansenopati4722,Directed,82,,1
panembahansenopati4722,panembahansenopati4722,Directed,83,,1
panembahansenopati4722,Idontknowanythungbuzzer,Directed,84,,1
Pak_Ahmad,panembahansenopati4722,Directed,85,,1
Pak_Ahmad,panembahansenopati4722siapayg,Directed,86,,1
panembahansenopati4722,Pak_Ahmadsi,Directed,87,,1
AC_COMUNITY,AdhiKaryo-p1b,Directed,88,,1
ButterYyot,AdifSetiawan-q7b,Directed,89,,1
TheOffizier,Djinggo-o2u,Directed,90,,1
Idontknowanythung,Djinggo-o2u,Directed,91,,1
SukaAnimeOnePiece,Djinggo-o2u,Directed,92,,1
Pak_Ahmad,Djinggo-o2u,Directed,93,,1
Idontknowanythung,unibakwan-c8d,Directed,94,,1
lambokuye2450,lambokuye2450,Directed,95,,1
Idontknowanythung,hantagamer0799,Directed,96,,1
hantagamer0799,hantagamer0799,Directed,97,,1
hantagamer0799,Idontknowanythung,Directed,98,,1
yoyokdwi7953,RohaMarbun,Directed,99,,1
TheOffizier,RohaMarbun,Directed,100,,1
