Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,stat_inf_class,eigencentrality
Knowledge9s,Knowledge9s,0,2,2,2,0.666667,0.75,0,10,10,0
apocalypsekutuura4021,apocalypsekutuura4021,2,2,4,1,1,1,0,10,10,0.008176
Knowledge9sShe,Knowledge9sShe,1,0,1,0,0,0,0,10,10,0.005339
AWEMBAWE,AWEMBAWE,1,1,2,1,1,1,0,0,1,0.002837
Purnomojokk,Purnomojokk,2,0,2,0,0,0,0,0,1,0.006713
sukinemsukinem477,sukinemsukinem477,0,4,4,1,1,1,0,0,1,0
PaijoedanYT,PaijoedanYT,0,1,1,1,1,1,0,1,0,0
Andoel-g4h,Andoel-g4h,2,1,3,0,0,0,0,1,0,0.008176
Selasarobbykamis,Selasarobbykamis,1,0,1,0,0,0,0,0,1,0.002837
RockySmash-l2n,RockySmash-l2n,1,0,1,0,0,0,0,0,1,0.002837
DnD_91,DnD_91,1,2,3,1,1,1,0,2,2,0.002837
FimalMalfie,FimalMalfie,1,0,1,0,0,0,0,2,2,0.003875
ghanyTech,ghanyTech,2,0,2,0,0,0,0,2,2,0.006713
MrMann-1M,MrMann-1M,0,2,2,2,0.75,0.833333,0,2,2,0
Vaanzzzz-z,Vaanzzzz-z,0,4,4,2,0.75,0.833333,0,3,3,0
cr_one416,cr_one416,3,3,6,1,1,1,0,3,3,0.012264
jgsatru,jgsatru,0,1,1,2,0.6,0.666667,0,3,3,0
Vaanzzzz-zbukannya,Vaanzzzz-zbukannya,1,0,1,0,0,0,0,3,3,0.00659
jgsatruklo,jgsatruklo,1,0,1,0,0,0,0,3,3,0.00659
Netizencritics,Netizencritics,0,1,1,1,1,1,0,3,3,0
MuhamadNarno-c1j,MuhamadNarno-c1j,2,0,2,0,0,0,0,3,3,0.005674
tukangmendem-w4o,tukangmendem-w4o,1,0,1,0,0,0,0,3,3,0.002837
DedeRohmat-qf7um,DedeRohmat-qf7um,1,0,1,0,0,0,0,3,3,0.002837
LudovicoEuinaudi,LudovicoEuinaudi,0,2,2,2,0.666667,0.75,0,4,4,0
nindyabay,nindyabay,2,3,5,1,1,1,0,4,4,0.008176
LudovicoEuinaudiSalah,LudovicoEuinaudiSalah,1,0,1,0,0,0,0,4,4,0.005339
nindyabayhaaa,nindyabayhaaa,1,0,1,0,0,0,0,4,4,0.002837
LudovicoEuinaudiFerry,LudovicoEuinaudiFerry,1,0,1,0,0,0,0,4,4,0.005339
Shafira-n9y,Shafira-n9y,0,3,3,2,0.636364,0.714286,0,5,5,0
jonamboy9357,jonamboy9357,1,0,1,0,0,0,0,5,5,0.002837
yoedsnugraha265,yoedsnugraha265,0,4,4,2,0.666667,0.75,0,5,5,0
supriyadialif7301,supriyadialif7301,9,5,14,1,1,1,0.000003,5,5,0.041528
yoedsnugraha265lah,yoedsnugraha265lah,1,0,1,0,0,0,0,5,5,0.002837
marthenpadanglomo3757,marthenpadanglomo3757,0,2,2,2,0.583333,0.642857,0,5,5,0
boyujang8537,boyujang8537,1,2,3,2,0.6,0.666667,0,5,5,0.002837
marthenpadanglomo3757emang,marthenpadanglomo3757emang,1,0,1,0,0,0,0,5,5,0.003875
boyujang8537keturunan,boyujang8537keturunan,1,0,1,0,0,0,0,5,5,0.01477
marthenpadanglomo3757berkedok,marthenpadanglomo3757berkedok,1,0,1,0,0,0,0,5,5,0.01477
marthenpadanglomo3757monyet,marthenpadanglomo3757monyet,1,0,1,0,0,0,0,5,5,0.002837
marthenpadanglomo3757kau,marthenpadanglomo3757kau,1,0,1,0,0,0,0,5,5,0.002837
apriliandyy,apriliandyy,0,3,3,2,0.636364,0.714286,0,5,5,0
lilihmuslih8788,lilihmuslih8788,2,0,2,0,0,0,0,5,5,0.005674
donebossboss737,donebossboss737,1,0,1,0,0,0,0,5,5,0.002837
BerlianKerasDariMorioh,BerlianKerasDariMorioh,1,1,2,2,0.571429,0.625,0,5,5,0.01477
tp44-b5v,tp44-b5v,0,1,1,1,1,1,0,6,6,0
choongchoong4338,choongchoong4338,1,0,1,0,0,0,0,6,6,0.002837
regamara5448,regamara5448,0,5,5,2,0.692308,0.777778,0,5,5,0
JNabila-i1j,JNabila-i1j,1,0,1,0,0,0,0,5,5,0.002837
Xxx1818-r5t,Xxx1818-r5t,1,0,1,0,0,0,0,5,5,0.002837
dianindri4825,dianindri4825,1,0,1,0,0,0,0,5,5,0.002837
ryanaja-h9b,ryanaja-h9b,1,0,1,0,0,0,0,5,5,0.002837
Asplanned69,Asplanned69,0,1,1,2,0.555556,0.6,0,5,5,0
Asplanned69akun,Asplanned69akun,1,0,1,0,0,0,0,5,5,0.01477
royong7906,royong7906,0,2,2,2,0.75,0.833333,0,7,7,0
rajata_mahendra,rajata_mahendra,2,0,2,0,0,0,0,7,7,0.006713
gudangfilm7867,gudangfilm7867,1,2,3,1,1,1,0,7,7,0.002837
royong7906nte,royong7906nte,1,0,1,0,0,0,0,7,7,0.003875
calvfinka,calvfinka,0,1,1,1,1,1,0,8,8,0
muhamadsafii7952,muhamadsafii7952,1,0,1,0,0,0,0,8,8,0.002837
Pak_Ahmad,Pak_Ahmad,0,4,4,2,0.75,0.833333,0,14,11,0
GarudaNKRI-z7y,GarudaNKRI-z7y,1,0,1,0,0,0,0,14,11,0.002837
habibfitra7207,habibfitra7207,1,2,3,1,1,1,0,9,9,0.005608
yoyoksuroso-b9r,yoyoksuroso-b9r,1,0,1,0,0,0,0,9,9,0.00433
DenaRudiana-z8p,DenaRudiana-z8p,2,2,4,2,0.666667,0.75,0,9,9,0.009938
muafa1499,muafa1499,1,3,4,1,1,1,0,299,276,0.005608
jdhaoapfufuend,jdhaoapfufuend,2,2,4,2,0.6,0.666667,0,299,276,0.009938
eoreh,eoreh,0,2,2,3,0.4,0.483333,0,85,276,0
Jegukneo,Jegukneo,1,0,1,0,0,0,0,85,276,0.002837
UcokAlok-o7v,UcokAlok-o7v,0,1,1,2,0.666667,0.75,0,131,276,0
ferryirwandi,ferryirwandi,7,1,8,1,1,1,0.000001,131,276,0.020898
mahakachannel65,mahakachannel65,2,2,4,1,1,1,0,10,10,0.008176
Knowledge9sapa,Knowledge9sapa,1,0,1,0,0,0,0,10,10,0.005339
Idontknowanythung,Idontknowanythung,2,14,16,2,0.818182,0.888889,0.000004,14,11,0.00866
doankzadule8335,doankzadule8335,3,0,3,0,0,0,0,14,11,0.011067
sakti3901,sakti3901,0,3,3,3,0.487179,0.54386,0,14,11,0
SukaAnimeOnePiece,SukaAnimeOnePiece,0,2,2,1,1,1,0,14,11,0
phaphahebalova5995,phaphahebalova5995,2,0,2,0,0,0,0,14,11,0.00823
WawanSaputra-f4y,WawanSaputra-f4y,1,0,1,0,0,0,0,14,11,0.005393
togogmahesa617,togogmahesa617,1,0,1,0,0,0,0,14,11,0.005393
imanuelnully5886,imanuelnully5886,1,0,1,0,0,0,0,14,11,0.005393
panembahansenopati4722,panembahansenopati4722,3,3,6,1,1,1,0.000001,14,11,0.015305
Idontknowanythungbuzzer,Idontknowanythungbuzzer,1,0,1,0,0,0,0,14,11,0.007074
panembahansenopati4722siapayg,panembahansenopati4722siapayg,1,0,1,0,0,0,0,14,11,0.002837
Pak_Ahmadsi,Pak_Ahmadsi,1,0,1,0,0,0,0,14,11,0.007074
AC_COMUNITY,AC_COMUNITY,0,1,1,1,1,1,0,11,12,0
AdhiKaryo-p1b,AdhiKaryo-p1b,1,0,1,0,0,0,0,11,12,0.002837
ButterYyot,ButterYyot,0,1,1,1,1,1,0,12,13,0
AdifSetiawan-q7b,AdifSetiawan-q7b,1,0,1,0,0,0,0,12,13,0.002837
TheOffizier,TheOffizier,0,3,3,2,0.8,0.875,0,14,11,0
Djinggo-o2u,Djinggo-o2u,4,0,4,0,0,0,0,14,11,0.013905
unibakwan-c8d,unibakwan-c8d,1,0,1,0,0,0,0,14,11,0.005393
lambokuye2450,lambokuye2450,1,1,2,0,0,0,0,13,14,0.004088
hantagamer0799,hantagamer0799,2,2,4,3,0.461538,0.490741,0,14,11,0.011217
yoyokdwi7953,yoyokdwi7953,2,1,3,2,0.666667,0.75,0,14,11,0.011706
RohaMarbun,RohaMarbun,4,3,7,1,1,1,0.000001,14,11,0.022977
yoyokdwi7953Nye,yoyokdwi7953Nye,1,0,1,0,0,0,0,14,11,0.005393
RohaMarbunNye,RohaMarbunNye,1,0,1,0,0,0,0,14,11,0.005393
IdontknowanythungApaan,IdontknowanythungApaan,1,0,1,0,0,0,0,14,11,0.008869
chokysmithx,chokysmithx,1,0,1,0,0,0,0,14,11,0.005393
peckynoel9645,peckynoel9645,1,0,1,0,0,0,0,14,11,0.005393
PERSIB_ANJING_APBN_FC,PERSIB_ANJING_APBN_FC,0,2,2,2,0.75,0.833333,0,15,15,0
dharmasatya3265,dharmasatya3265,2,2,4,1,1,1,0,15,15,0.008176
PERSIB_ANJING_APBN_FCya,PERSIB_ANJING_APBN_FCya,1,0,1,0,0,0,0,15,15,0.005339
Adnz7237,Adnz7237,1,0,1,0,0,0,0,15,15,0.002837
eternal_night212,eternal_night212,1,2,3,1,1,1,0,17,16,0.005608
mastekno-2,mastekno-2,2,2,4,2,0.666667,0.75,0,17,16,0.009938
buyaumma,buyaumma,0,2,2,1,1,1,0,16,58,0
MuhaiminSag,MuhaiminSag,2,0,2,0,0,0,0,16,58,0.005674
ZN4sution,ZN4sution,0,1,1,1,1,1,0,16,58,0
stanleydominix,stanleydominix,1,0,1,0,0,0,0,17,16,0.00433
RioRiop,RioRiop,0,1,1,1,1,1,0,18,17,0
AprilApril-o7f,AprilApril-o7f,1,0,1,0,0,0,0,18,17,0.002837
LempasLempus,LempasLempus,0,1,1,1,1,1,0,19,18,0
michael_official-y6t,michael_official-y6t,1,0,1,0,0,0,0,19,18,0.002837
andikaprayogi6541,andikaprayogi6541,0,2,2,2,0.75,0.833333,0,22,20,0
ufauuch9419,ufauuch9419,2,2,4,1,1,1,0,22,20,0.008176
andikaprayogi6541mending,andikaprayogi6541mending,1,0,1,0,0,0,0,22,20,0.005339
rizalzepri,rizalzepri,0,1,1,1,1,1,0,20,19,0
Bababubu774,Bababubu774,1,0,1,0,0,0,0,20,19,0.002837
slukman4261,slukman4261,0,1,1,1,1,1,0,21,233,0
Ferry,Ferry,4,0,4,0,0,0,0,21,233,0.012599
zleinade,zleinade,2,0,2,0,0,0,0,22,20,0.005674
ClickBanget,ClickBanget,0,2,2,1,1,1,0,22,20,0
andikaprayogi6541emang,andikaprayogi6541emang,1,0,1,0,0,0,0,22,20,0.002837
ridwanridwan2656,ridwanridwan2656,0,2,2,3,0.545455,0.638889,0,131,276,0
Awesome-and-treesome,Awesome-and-treesome,2,5,7,2,0.833333,0.9,0,131,276,0.008176
ridwanridwan2656SANGAT,ridwanridwan2656SANGAT,1,0,1,0,0,0,0,131,276,0.005339
mamameowbali,mamameowbali,0,16,16,3,0.534247,0.65812,0,24,276,0
1nsanewayn3,1nsanewayn3,1,2,3,1,1,1,0,24,276,0.002837
nazwachanel1867,nazwachanel1867,1,0,1,0,0,0,0,24,276,0.002837
adeharlianpratama6854,adeharlianpratama6854,1,0,1,0,0,0,0,24,276,0.002837
AbuDaba-j2i,AbuDaba-j2i,1,0,1,0,0,0,0,24,276,0.002837
