publishedAt,authorDisplayName,textDisplay,likeCount,text_clean,dominant_topic,topic_probability
2025-12-09T02:24:10Z,@Nekokun-k8k,Makasih berkat anda gua jadi bodoh amat kemarin,0,makasih berkat bodoh kemarin,1,0.4456615
2025-12-03T16:05:46Z,@joviputr1238,Anak abah CS DAN BANTENG  pasti pada emosi 😅 karena rencana GAGAL !!!,0,anak abah banteng emosi rencana gagal,3,0.41531295
2025-11-22T18:29:33Z,@rudiumardani5494,Tau enggak china pki....tai china bangsat....brengsek....gua tumbalin loe china babi.....,0,tau china pki tai china bangsat brengsek tumbalin china babi,3,0.42540672
2025-11-22T18:28:20Z,@rudiumardani5494,Harusnya elu susul tuh si atheis  LEE KUAN YEW....BIN POOR-LION,0,elu susul tuh atheis lee kuan yew bin poor lion,5,0.33311895
2025-11-20T03:55:24Z,@Bossge1091,"Terlalu banyak otak kosong dan terlalu banyak penjilat di negara ini, sebanyak apapun bersuara tidak akan ada pengaruhnya",1,otak kosong penjilat negara apapun bersuara pengaruhnya,1,0.38469627
2025-11-18T13:16:50Z,@XiaoXuan-x3x,"Bang ferry, gimana reaksi mu dengan ruu kuhp yang disahkan?",0,ferry gimana reaksi ruu kuhp disahkan,3,0.24677637
2025-11-16T07:20:17Z,@AhmadSyahid-l4c,Apakah ada kolerasi denganpengalihan isu ijasah?,0,kolerasi denganpengalihan isu ijasah,4,0.27302974
2025-11-10T07:37:18Z,@Davit-l4k,Asalamualaikum warohmatulohi wabarakatuh,0,asalamualaikum warohmatulohi wabarakatuh,4,0.22445367
2025-11-07T12:39:32Z,@RAUL-r4v,"Naikin cukai dengan tujuan nurunin pecandu rokok, nyatanya jumlah perokok nya ga menurun, mereka cuman beralih ke rokok ilegal dll 😂",1,naikin cukai tujuan nurunin pecandu rokok perokok menurun cuman beralih rokok ilegal dll,1,0.33731204
2025-10-21T10:52:58Z,@ZIZIch13,Pasti &quot;geter&quot; Mereka melihat video ini 😂,0,quot geter quot video,1,0.315643
