Source,Target,Type,Id,Label,Weight
Knowledge9s,apocalypsekutuura4021,Directed,14599,,1
apocalypsekutuura4021,apocalypsekutuura4021,Directed,14600,,1
apocalypsekutuura4021,Knowledge9sShe,Directed,14601,,1
AWEMBAWE,Purnomojokk,Directed,14602,,1
sukinemsukinem477,Purnomojokk,Directed,14603,,1
sukinemsukinem477,AWEMBAWE,Directed,14604,,1
PaijoedanYT,Andoel-g4h,Directed,14605,,1
Andoel-g4h,Andoel-g4h,Directed,14606,,1
sukinemsukinem477,Selasarobbykamis,Directed,14607,,1
sukinemsukinem477,RockySmash-l2n,Directed,14608,,1
DnD_91,FimalMalfie,Directed,14609,,1
DnD_91,ghanyTech,Directed,14610,,1
MrMann-1M,ghanyTech,Directed,14611,,1
MrMann-1M,DnD_91,Directed,14612,,1
Vaanzzzz-z,cr_one416,Directed,14613,,1
jgsatru,cr_one416,Directed,14614,,1
cr_one416,cr_one416,Directed,14615,,1
cr_one416,Vaanzzzz-zbukannya,Directed,14616,,1
cr_one416,jgsatruklo,Directed,14617,,1
Netizencritics,MuhamadNarno-c1j,Directed,14618,,1
Vaanzzzz-z,MuhamadNarno-c1j,Directed,14619,,1
Vaanzzzz-z,tukangmendem-w4o,Directed,14620,,1
Vaanzzzz-z,DedeRohmat-qf7um,Directed,14621,,1
LudovicoEuinaudi,nindyabay,Directed,14622,,1
nindyabay,nindyabay,Directed,14623,,1
nindyabay,LudovicoEuinaudiSalah,Directed,14624,,1
LudovicoEuinaudi,nindyabayhaaa,Directed,14625,,1
nindyabay,LudovicoEuinaudiFerry,Directed,14626,,1
Shafira-n9y,jonamboy9357,Directed,14627,,1
yoedsnugraha265,supriyadialif7301,Directed,14628,,1
Shafira-n9y,supriyadialif7301,Directed,14629,,1
Shafira-n9y,yoedsnugraha265lah,Directed,14630,,1
marthenpadanglomo3757,supriyadialif7301,Directed,14631,,1
boyujang8537,supriyadialif7301,Directed,14632,,1
boyujang8537,marthenpadanglomo3757emang,Directed,14633,,1
marthenpadanglomo3757,boyujang8537,Directed,14634,,1
supriyadialif7301,supriyadialif7301,Directed,14635,,1
supriyadialif7301,boyujang8537keturunan,Directed,14636,,1
supriyadialif7301,marthenpadanglomo3757berkedok,Directed,14637,,1
yoedsnugraha265,marthenpadanglomo3757monyet,Directed,14638,,1
yoedsnugraha265,marthenpadanglomo3757kau,Directed,14639,,1
apriliandyy,lilihmuslih8788,Directed,14640,,1
yoedsnugraha265,lilihmuslih8788,Directed,14641,,1
apriliandyy,donebossboss737,Directed,14642,,1
BerlianKerasDariMorioh,supriyadialif7301,Directed,14643,,1
supriyadialif7301,BerlianKerasDariMorioh,Directed,14644,,1
apriliandyy,supriyadialif7301,Directed,14645,,1
tp44-b5v,choongchoong4338,Directed,14646,,1
regamara5448,JNabila-i1j,Directed,14647,,1
regamara5448,Xxx1818-r5t,Directed,14648,,1
regamara5448,dianindri4825,Directed,14649,,1
regamara5448,ryanaja-h9b,Directed,14650,,1
Asplanned69,supriyadialif7301,Directed,14651,,1
regamara5448,supriyadialif7301,Directed,14652,,1
supriyadialif7301,Asplanned69akun,Directed,14653,,1
royong7906,rajata_mahendra,Directed,14654,,1
gudangfilm7867,rajata_mahendra,Directed,14655,,1
gudangfilm7867,royong7906nte,Directed,14656,,1
royong7906,gudangfilm7867,Directed,14657,,1
calvfinka,muhamadsafii7952,Directed,14658,,1
Pak_Ahmad,GarudaNKRI-z7y,Directed,14659,,1
habibfitra7207,yoyoksuroso-b9r,Directed,14660,,1
habibfitra7207,DenaRudiana-z8p,Directed,14661,,1
DenaRudiana-z8p,DenaRudiana-z8p,Directed,14662,,1
DenaRudiana-z8p,habibfitra7207,Directed,14663,,1
muafa1499,jdhaoapfufuend,Directed,14664,,1
jdhaoapfufuend,jdhaoapfufuend,Directed,14665,,1
jdhaoapfufuend,muafa1499,Directed,14666,,1
eoreh,Jegukneo,Directed,14667,,1
UcokAlok-o7v,ferryirwandi,Directed,14668,,1
Knowledge9s,mahakachannel65,Directed,14669,,1
mahakachannel65,mahakachannel65,Directed,14670,,1
mahakachannel65,Knowledge9sapa,Directed,14671,,1
Idontknowanythung,doankzadule8335,Directed,14672,,1
sakti3901,doankzadule8335,Directed,14673,,1
sakti3901,Idontknowanythung,Directed,14674,,1
SukaAnimeOnePiece,doankzadule8335,Directed,14675,,1
Idontknowanythung,phaphahebalova5995,Directed,14676,,1
sakti3901,phaphahebalova5995,Directed,14677,,1
Idontknowanythung,WawanSaputra-f4y,Directed,14678,,1
Idontknowanythung,togogmahesa617,Directed,14679,,1
Idontknowanythung,imanuelnully5886,Directed,14680,,1
Idontknowanythung,panembahansenopati4722,Directed,14681,,1
panembahansenopati4722,panembahansenopati4722,Directed,14682,,1
panembahansenopati4722,Idontknowanythungbuzzer,Directed,14683,,1
Pak_Ahmad,panembahansenopati4722,Directed,14684,,1
Pak_Ahmad,panembahansenopati4722siapayg,Directed,14685,,1
panembahansenopati4722,Pak_Ahmadsi,Directed,14686,,1
AC_COMUNITY,AdhiKaryo-p1b,Directed,14687,,1
ButterYyot,AdifSetiawan-q7b,Directed,14688,,1
TheOffizier,Djinggo-o2u,Directed,14689,,1
Idontknowanythung,Djinggo-o2u,Directed,14690,,1
SukaAnimeOnePiece,Djinggo-o2u,Directed,14691,,1
Pak_Ahmad,Djinggo-o2u,Directed,14692,,1
Idontknowanythung,unibakwan-c8d,Directed,14693,,1
lambokuye2450,lambokuye2450,Directed,14694,,1
Idontknowanythung,hantagamer0799,Directed,14695,,1
hantagamer0799,hantagamer0799,Directed,14696,,1
hantagamer0799,Idontknowanythung,Directed,14697,,1
yoyokdwi7953,RohaMarbun,Directed,14698,,1
TheOffizier,RohaMarbun,Directed,14699,,1
TheOffizier,yoyokdwi7953,Directed,14700,,1
RohaMarbun,RohaMarbun,Directed,14701,,1
RohaMarbun,yoyokdwi7953,Directed,14702,,1
Idontknowanythung,RohaMarbun,Directed,14703,,1
Idontknowanythung,yoyokdwi7953Nye,Directed,14704,,1
Idontknowanythung,RohaMarbunNye,Directed,14705,,1
RohaMarbun,IdontknowanythungApaan,Directed,14706,,1
Idontknowanythung,chokysmithx,Directed,14707,,1
Idontknowanythung,peckynoel9645,Directed,14708,,1
PERSIB_ANJING_APBN_FC,dharmasatya3265,Directed,14709,,1
dharmasatya3265,dharmasatya3265,Directed,14710,,1
dharmasatya3265,PERSIB_ANJING_APBN_FCya,Directed,14711,,1
PERSIB_ANJING_APBN_FC,Adnz7237,Directed,14712,,1
eternal_night212,mastekno-2,Directed,14713,,1
mastekno-2,mastekno-2,Directed,14714,,1
mastekno-2,eternal_night212,Directed,14715,,1
buyaumma,MuhaiminSag,Directed,14716,,1
ZN4sution,MuhaiminSag,Directed,14717,,1
eternal_night212,stanleydominix,Directed,14718,,1
RioRiop,AprilApril-o7f,Directed,14719,,1
LempasLempus,michael_official-y6t,Directed,14720,,1
andikaprayogi6541,ufauuch9419,Directed,14721,,1
ufauuch9419,ufauuch9419,Directed,14722,,1
ufauuch9419,andikaprayogi6541mending,Directed,14723,,1
rizalzepri,Bababubu774,Directed,14724,,1
slukman4261,Ferry,Directed,14725,,1
andikaprayogi6541,zleinade,Directed,14726,,1
ClickBanget,zleinade,Directed,14727,,1
ClickBanget,andikaprayogi6541emang,Directed,14728,,1
ridwanridwan2656,Awesome-and-treesome,Directed,14729,,1
Awesome-and-treesome,Awesome-and-treesome,Directed,14730,,1
Awesome-and-treesome,ridwanridwan2656SANGAT,Directed,14731,,1
mamameowbali,1nsanewayn3,Directed,14732,,1
mamameowbali,nazwachanel1867,Directed,14733,,1
mamameowbali,adeharlianpratama6854,Directed,14734,,1
mamameowbali,AbuDaba-j2i,Directed,14735,,1
ivansolo9311,iOS_Enthusiast,Directed,14736,,1
mthoifaf,iOS_Enthusiast,Directed,14737,,1
mthoifaf,ivansolo9311maklum,Directed,14738,,1
nashibashi5786,biily138,Directed,14739,,1
H1MIZU,biily138,Directed,14740,,1
H1MIZU,nashibashi5786,Directed,14741,,1
mamameowbali,biily138,Directed,14742,,1
mahatidanaputra6809,SelfGrowth393,Directed,14743,,1
mamameowbali,SelfGrowth393,Directed,14744,,1
nashibashi5786,T.Abadi1899,Directed,14745,,1
nashibashi5786,achmadyani5690,Directed,14746,,1
mamameowbali,achmadyani5690,Directed,14747,,1
nashibashi5786,DeviSopiandi-i7q,Directed,14748,,1
nashibashi5786,17nurhidayat,Directed,14749,,1
mamameowbali,17nurhidayat,Directed,14750,,1
17nurhidayat,17nurhidayat,Directed,14751,,1
17nurhidayat,nashibashi5786,Directed,14752,,1
nashibashi5786,sogoals1929,Directed,14753,,1
1nsanewayn3,sogoals1929,Directed,14754,,1
1nsanewayn3,nashibashi5786ANJING,Directed,14755,,1
mamameowbali,sogoals1929,Directed,14756,,1
mamameowbali,harismoedjeni3145,Directed,14757,,1
galangpw2617,17nurhidayat,Directed,14758,,1
17nurhidayat,galangpw2617,Directed,14759,,1
H1MIZU,17nurhidayat,Directed,14760,,1
17nurhidayat,mamameowbaliOk,Directed,14761,,1
nashibashi5786,JPCustomer,Directed,14762,,1
mamameowbali,M.mahdii-k,Directed,14763,,1
WijangWahyudi,imgoneforevernow,Directed,14764,,1
eb1504,vainloriusgaming2872,Directed,14765,,1
eb1504,diananggoromukti1490,Directed,14766,,1
diananggoromukti1490,diananggoromukti1490,Directed,14767,,1
eb1504,verifizasi,Directed,14768,,1
ilhamrj2599,verifizasi,Directed,14769,,1
verifizasi,verifizasi,Directed,14770,,1
verifizasi,ilhamrj2599akun2,Directed,14771,,1
eb1504,kanglieur3459,Directed,14772,,1
ilhamrj2599,kanglieur3459,Directed,14773,,1
kanglieur3459,kanglieur3459,Directed,14774,,1
kanglieur3459,ilhamrj2599nah,Directed,14775,,1
kanglieur3459,eb1504byk,Directed,14776,,1
TutikDjanah,gabehutagalung3165,Directed,14777,,1
kleberson777,autorename,Directed,14778,,1
autorename,autorename,Directed,14779,,1
autorename,kleberson777,Directed,14780,,1
kalizoldyck,ronggosukmowijoyo7034,Directed,14781,,1
VJ.155,ronggosukmowijoyo7034,Directed,14782,,1
VJ.155,kalizoldyckemang,Directed,14783,,1
FRHN-is4xw,ronggosukmowijoyo7034,Directed,14784,,1
nyamuk9446,nyamuk9446,Directed,14785,,1
AndhikaSeptianT,aisyahhumaira5081,Directed,14786,,1
eb1504,TubagusHaryono,Directed,14787,,1
eb1504,Locky1406,Directed,14788,,1
rickylee5015,masterrbaiterr,Directed,14789,,1
eb1504,masterrbaiterr,Directed,14790,,1
ilhamrj2599,firmanhelian9980,Directed,14791,,1
firmanhelian9980,firmanhelian9980,Directed,14792,,1
firmanhelian9980,ilhamrj2599,Directed,14793,,1
eb1504,firmanhelian9980,Directed,14794,,1
benisurya1140,mukhlisraditya6225,Directed,14795,,1
hendratrisna9083,mukhlisraditya6225,Directed,14796,,1
widtaninmas,mukhlisraditya6225,Directed,14797,,1
widtaninmas,benisurya1140,Directed,14798,,1
bintangarmstrong224,mukhlisraditya6225,Directed,14799,,1
miumiumiu-v3s,semsatria5578,Directed,14800,,1
semsatria5578,semsatria5578,Directed,14801,,1
semsatria5578,miumiumiu-v3s,Directed,14802,,1
semsatria5578,miumiumiu-v3skita,Directed,14803,,1
eb1504,woles_project9122,Directed,14804,,1
woles_project9122,woles_project9122,Directed,14805,,1
Enohx01,joejordy7711,Directed,14806,,1
joejordy7711,joejordy7711,Directed,14807,,1
joejordy7711,Enohx01udh,Directed,14808,,1
Enohx01,AdrianLesmana-i1i,Directed,14809,,1
Abdulmassoudhassani,AttarHalilintar-gr1hw,Directed,14810,,1
SenjaRiani-q9z,bolangpantura,Directed,14811,,1
bolangpantura,bolangpantura,Directed,14812,,1
bolangpantura,SenjaRiani-q9zlogika,Directed,14813,,1
siputgilagila,i.m-done,Directed,14814,,1
saifulzaz,i.m-done,Directed,14815,,1
saifulzaz,siputgilagilabiarin,Directed,14816,,1
oktass6548,i.m-done,Directed,14817,,1
siputgilagila,jandrylolong8437,Directed,14818,,1
Enohx01,jandrylolong8437,Directed,14819,,1
Enohx01,siputgilagilabiarin,Directed,14820,,1
siputgilagila,sultanjawa17,Directed,14821,,1
RDN0606,sultanjawa17,Directed,14822,,1
Enohx01,brandenoctavino4295,Directed,14823,,1
Enohx01,rahmatagung600,Directed,14824,,1
Abdulmassoudhassani,rahmatagung600,Directed,14825,,1
Abdulmassoudhassani,Enohx01udah,Directed,14826,,1
RDN0606,SpirtusCodm,Directed,14827,,1
Enohx01,baimbaim6464,Directed,14828,,1
Abdulmassoudhassani,baimbaim6464,Directed,14829,,1
marcelfauzah,marcelfauzah,Directed,14830,,1
marcelfauzah,XFT-o1cok,Directed,14831,,1
Abdulmassoudhassani,marcelfauzah,Directed,14832,,1
SujendrooOktaa,kanaya-e5t,Directed,14833,,1
RDN0606,brilliandchannel3930,Directed,14834,,1
smilefromtheheartoriginal,gracebarn430,Directed,14835,,1
Abdulmassoudhassani,gracebarn430,Directed,14836,,1
smilefromtheheartoriginal,HendieHendrianto,Directed,14837,,1
smilefromtheheartoriginal,abduljalil-qy9fq,Directed,14838,,1
smilefromtheheartoriginal,faridwidyafrisma5798,Directed,14839,,1
smilefromtheheartoriginal,Basyariyyah,Directed,14840,,1
Abdulmassoudhassani,Basyariyyah,Directed,14841,,1
Abdulmassoudhassani,narrastories,Directed,14842,,1
thewind3240,pemikirbesar,Directed,14843,,1
Scarlettfangs,SyifaMarfuah,Directed,14844,,1
nadhifmusyafa1275,Kepalapundaklututkaki,Directed,14845,,1
Abdulmassoudhassani,Kepalapundaklututkaki,Directed,14846,,1
Abdulmassoudhassani,nadhifmusyafa1275komen,Directed,14847,,1
subektisetya,arolsy,Directed,14848,,1
Scarlettfangs,mizrachayit,Directed,14849,,1
RDN0606,mizrachayit,Directed,14850,,1
PondikKurnia,andhisofyan9499,Directed,14851,,1
andhisofyan9499,andhisofyan9499,Directed,14852,,1
andhisofyan9499,PondikKurniajujur,Directed,14853,,1
Kurtet_jametreog,andhisofyan9499,Directed,14854,,1
Kosongsuakosonglima5,pedulikucing-v3.1,Directed,14855,,1
dennyputra-s2q,airmoneyandchair,Directed,14856,,1
bintangarmstrong224,airmoneyandchair,Directed,14857,,1
arfafadilah.m,iandonovann6807,Directed,14858,,1
abamduda6801,jarwo7704,Directed,14859,,1
purpurblock7770,Al-yi7jl,Directed,14860,,1
BasriLana,MataMataRakyat734,Directed,14861,,1
abdulsomad-ii5vg,MataMataRakyat734,Directed,14862,,1
MataMataRakyat734,MataMataRakyat734,Directed,14863,,1
MataMataRakyat734,BasriLanaya,Directed,14864,,1
p34c3b3up0n,p34c3b3up0n,Directed,14865,,1
topanhaikylabelaha8012,voidless_xx,Directed,14866,,1
nagaijo7262,voidless_xx,Directed,14867,,1
Realme-xe8ms,pft2000,Directed,14868,,1
Layq_wxe,OmZull-md4iq,Directed,14869,,1
menotfunnyclips8982,paradisealamin8497,Directed,14870,,1
hi.feneta,FerryIrwandi,Directed,14871,,1
ichsann0248,kemedjuara9773,Directed,14872,,1
agussururi1195,agussururi1195,Directed,14873,,1
aas529,D4NEE-d8r,Directed,14874,,1
D4NEE-d8r,D4NEE-d8r,Directed,14875,,1
D4NEE-d8r,aas529g,Directed,14876,,1
fahrifz1882,danny20433,Directed,14877,,1
adityakbar,beekribo,Directed,14878,,1
adityakbar,ucokbaba-z9n,Directed,14879,,1
ilhamrj2599,ucokbaba-z9n,Directed,14880,,1
ucokbaba-z9n,ucokbaba-z9n,Directed,14881,,1
ucokbaba-z9n,ilhamrj2599,Directed,14882,,1
ucokbaba-z9n,adityakbar,Directed,14883,,1
gilangramadhan9614,musthofaking4431,Directed,14884,,1
LLLLlll__0000,musthofaking4431,Directed,14885,,1
umarsyaefulloh1767,musthofaking4431,Directed,14886,,1
maiaAnticka,imamgozali7071,Directed,14887,,1
aaznurfauziah2410,aaznurfauziah2410,Directed,14888,,1
amrienazar1186,dedeyusuf88,Directed,14889,,1
69aqjgmw5,RaketBagus,Directed,14890,,1
Rumah_Satria,ManualLens-e7y,Directed,14891,,1
ManualLens-e7y,ManualLens-e7y,Directed,14892,,1
ManualLens-e7y,Rumah_Satria,Directed,14893,,1
LLLLlll__0000,ManualLens-e7y,Directed,14894,,1
yuanfelix8464,ahmadjayadi3017,Directed,14895,,1
amrienazar1186,allfeeanify,Directed,14896,,1
stardust8796,stardust8796,Directed,14897,,1
Nadyakh20,stardust8796,Directed,14898,,1
Phrololo,PABLOescobar12361,Directed,14899,,1
augur331,ViviSapi,Directed,14900,,1
AndraFebrian-h5f,mahjatinuramalina2759,Directed,14901,,1
fajaristifari8847,supermassiveblackhole666,Directed,14902,,1
vvram8464,ferryirwandi,Directed,14903,,1
VJ.155,akarkreasi-Music,Directed,14904,,1
mamameowbali,akarkreasi-Music,Directed,14905,,1
undead6868,NANASETIAWAN-b9u,Directed,14906,,1
lyoutube7750,ferryirwandi,Directed,14907,,1
palmtree_,D3ndi_Sunda,Directed,14908,,1
sarungwamidor6097,sahabatSejati-c7s7g,Directed,14909,,1
MaMana-hw9ow,REDSFAMS,Directed,14910,,1
palmtree_,susanto8216,Directed,14911,,1
animeglator4712,animeglator4712,Directed,14912,,1
mailali3437,widiandfolks,Directed,14913,,1
halushopingid,riscoprasetyo,Directed,14914,,1
ZENNBOCAHAI,Abrams4309,Directed,14915,,1
axyr99,AdrianoviFarouk,Directed,14916,,1
syh-o2r,chicofunkid,Directed,14917,,1
1nwb-4dnws,1nwb-4dnws,Directed,14918,,1
Thomas_Anderson77,tresnogibran2561,Directed,14919,,1
andree4081,Amat_P,Directed,14920,,1
ruuferu,renoroo25,Directed,14921,,1
CoconutTVOfficial,ferry,Directed,14922,,1
Thomas_Anderson77,Nesa_005-o1s,Directed,14923,,1
buyaumma,yzkykr,Directed,14924,,1
amrienazar1186,lukasmaxi6144,Directed,14925,,1
ruuferu,JayaNata-y6b,Directed,14926,,1
ruuferu,herihendriansyah2237,Directed,14927,,1
Oreolagii,herihendriansyah2237,Directed,14928,,1
aeth_rion,herihendriansyah2237,Directed,14929,,1
idedeas,Gratitudekuy,Directed,14930,,1
eyeblessing2166,Imamar-j7c,Directed,14931,,1
eoreh,Imamar-j7c,Directed,14932,,1
ruuferu,Imamar-j7c,Directed,14933,,1
reydhareydha7539,azamattauqi8822,Directed,14934,,1
reydhareydha7539,Ndrewstjan,Directed,14935,,1
reydhareydha7539,mas_veel,Directed,14936,,1
reydhareydha7539,Heraloebss,Directed,14937,,1
reydhareydha7539,tekarok007,Directed,14938,,1
ruuferu,cucugoogle20,Directed,14939,,1
cucugoogle20,cucugoogle20,Directed,14940,,1
cucugoogle20,ruuferu,Directed,14941,,1
ruuferu,cucugoogle20bukankah,Directed,14942,,1
ruuferu,cucugoogle20Dalang,Directed,14943,,1
ruuferu,cucugoogle20Kalau,Directed,14944,,1
ruuferu,cucugoogle20Mengarang,Directed,14945,,1
ruuferu,cucugoogle20Berkali,Directed,14946,,1
ruuferu,cucugoogle20Paham,Directed,14947,,1
ruuferu,cucugoogle20Sudah,Directed,14948,,1
sopojarwo3483,anonymus1412,Directed,14949,,1
ythbagindarajadewalordloeh7961,MrNuganteng,Directed,14950,,1
muhammadraafiputraarya,asiefhidayat8435,Directed,14951,,1
yubprprem-g9q,AmangGerang,Directed,14952,,1
zahrulnimotv9269,suhartosuharto40,Directed,14953,,1
nahnah20,oppajj-yb9ug,Directed,14954,,1
yubprprem-g9q,Kurnia_ID,Directed,14955,,1
nahnah20,MelancholyRider,Directed,14956,,1
masbagus276,PunyaAntho,Directed,14957,,1
nahnah20,PunyaAntho,Directed,14958,,1
PunyaAntho,PunyaAntho,Directed,14959,,1
PunyaAntho,masbagus276apalagi,Directed,14960,,1
nahnah20,Ahloy01,Directed,14961,,1
nahnah20,MasKapeh-p8r,Directed,14962,,1
skuadrenghek,ahyfamz8420,Directed,14963,,1
nahnah20,GrowUpper-z8i,Directed,14964,,1
forsaken3132,ka_bimo,Directed,14965,,1
LLLLlll__0000,yusranaidil5267,Directed,14966,,1
yusranaidil5267,yusranaidil5267,Directed,14967,,1
yusranaidil5267,LLLLlll__0000,Directed,14968,,1
yusranaidil5267,LLLLlll__0000Berarti,Directed,14969,,1
LLLLlll__0000,yusranaidil5267dia,Directed,14970,,1
CigutE,salmanalfis,Directed,14971,,1
puluthitam6615,salmanalfis,Directed,14972,,1
