Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
1-4halo75,1-4halo75,2,5,7,1,1,1,0,50
seasei7843Hati-hati,seasei7843Hati-hati,1,0,1,0,0,0,0,50
17nurhidayat,17nurhidayat,5,5,10,3,0.578947,0.666667,0.000002,41
galangpw2617,galangpw2617,1,1,2,4,0.37931,0.431818,0,41
nashibashi5786,nashibashi5786,2,7,9,2,0.733333,0.818182,0.000003,41
1kysaputra,1kysaputra,0,1,1,2,0.571429,0.625,0,11
rlynaa,rlynaa,6,3,9,1,1,1,0.000002,11
1nsanewayn3,1nsanewayn3,1,2,3,1,1,1,0,41
nashibashi5786ANJING,nashibashi5786ANJING,1,0,1,0,0,0,0,41
sogoals1929,sogoals1929,3,0,3,0,0,0,0,41
1nwb-4dnws,1nwb-4dnws,1,4,5,2,0.571429,0.625,0,152
4lfi,4lfi,0,5,5,1,1,1,0,274
Heraloebss,Heraloebss,4,0,4,0,0,0,0,274
Ndrewstjan,Ndrewstjan,3,0,3,0,0,0,0,274
mas_veel,mas_veel,4,0,4,0,0,0,0,274
mskosasih2119,mskosasih2119,1,0,1,0,0,0,0,274
tekarok007,tekarok007,4,0,4,0,0,0,0,274
69aqjgmw5,69aqjgmw5,0,1,1,1,1,1,0,0
RaketBagus,RaketBagus,1,0,1,0,0,0,0,0
75tahun73,75tahun73,0,1,1,2,0.666667,0.75,0,1
ShahirmaMarche,ShahirmaMarche,3,2,5,1,1,1,0,1
777song-b9s,777song-b9s,0,3,3,2,0.615385,0.6875,0,242
Myn1988,Myn1988,4,5,9,1,1,1,0.000001,242
AC_COMUNITY,AC_COMUNITY,0,1,1,1,1,1,0,2
AdhiKaryo-p1b,AdhiKaryo-p1b,1,0,1,0,0,0,0,2
AGAdministrator,AGAdministrator,0,3,3,5,0.347826,0.421528,0,50
rakaadityapermana3013,rakaadityapermana3013,5,0,5,0,0,0,0,50
semangatsemangat9929,semangatsemangat9929,1,1,2,1,1,1,0,50
AHMADNURRAMADHANIKUSUMA,AHMADNURRAMADHANIKUSUMA,1,2,3,1,1,1,0,3
Ferry,Ferry,4,0,4,0,0,0,0,3
ANDISetyawan-q9d,ANDISetyawan-q9d,0,1,1,2,0.666667,0.75,0,269
ArisTriyanto,ArisTriyanto,12,2,14,1,1,1,0.000003,269
AWEMBAWE,AWEMBAWE,1,1,2,1,1,1,0,4
Purnomojokk,Purnomojokk,2,0,2,0,0,0,0,4
AbdelHaq-m4w,AbdelHaq-m4w,0,4,4,1,1,1,0,142
MasyarakatAlternativEasyRunr,MasyarakatAlternativEasyRunr,5,0,5,0,0,0,0,142
allejandroEmanprovok,allejandroEmanprovok,1,0,1,0,0,0,0,142
AbdiPelangi,AbdiPelangi,0,2,2,1,1,1,0,242
blindspot9595,blindspot9595,4,0,4,0,0,0,0,242
muhammadsolikin5126elu,muhammadsolikin5126elu,1,0,1,0,0,0,0,242
AbdulRohim-r2x,AbdulRohim-r2x,0,1,1,2,0.666667,0.75,0,195
iceblue1006,iceblue1006,4,2,6,1,1,1,0,195
Abundanceme-o2q,Abundanceme-o2q,2,2,4,1,1,1,0,5
wx8pj8tu9h,wx8pj8tu9h,1,1,2,1,1,1,0,5
Adsnyt13,Adsnyt13,0,2,2,1,1,1,0,224
ThomasRebornID,ThomasRebornID,6,0,6,0,0,0,0,224
user-vb9ul6cj9x,user-vb9ul6cj9x,4,1,5,1,1,1,0,224
Agraulos,Agraulos,1,1,2,0,0,0,0,6
AgusNurwahyono,AgusNurwahyono,0,1,1,1,1,1,0,7
DwiAdiSetia,DwiAdiSetia,1,0,1,0,0,0,0,7
AhmadEfendi-fm7rs,AhmadEfendi-fm7rs,0,5,5,2,0.777778,0.857143,0,8
AllfastdoTherapeace,AllfastdoTherapeace,1,0,1,0,0,0,0,8
RaPy-rt7rh,RaPy-rt7rh,51,3,54,1,1,1,0.000014,8
promags9843,promags9843,1,0,1,0,0,0,0,8
AhmadKhaleedFromIndonesia,AhmadKhaleedFromIndonesia,1,1,2,0,0,0,0,9
AiDiChrone,AiDiChrone,1,1,2,0,0,0,0,10
AjiNugroho-b7w,AjiNugroho-b7w,3,3,6,3,0.538462,0.619048,0.000001,31
siebenakai3344,siebenakai3344,2,5,7,2,0.777778,0.857143,0.000002,31
siebenakai3344kalau,siebenakai3344kalau,1,0,1,0,0,0,0,31
AkbarAkbar-zz8is,AkbarAkbar-zz8is,0,4,4,3,0.578947,0.666667,0,25
alvinhidayat6583,alvinhidayat6583,14,7,21,2,0.8,0.875,0.000009,25
alvinhidayat6583bang,alvinhidayat6583bang,1,0,1,0,0,0,0,25
Al-yi7jl,Al-yi7jl,1,3,4,2,0.714286,0.8,0.000001,14
RyandikaFahmiRahmansyah,RyandikaFahmiRahmansyah,8,3,11,1,1,1,0.000002,14
Alauddin-2025-graduated,Alauddin-2025-graduated,9,16,25,2,0.735294,0.82,0.000024,269
Genshizuka,Genshizuka,7,2,9,1,1,1,0.000002,269
Rico-7071,Rico-7071,13,2,15,1,1,1,0.000006,269
SamsudinGrab,SamsudinGrab,4,0,4,0,0,0,0,269
arjuhidayaturrohman2431,arjuhidayaturrohman2431,4,0,4,0,0,0,0,269
ilhamn4095,ilhamn4095,26,0,26,0,0,0,0,120
iyanmulyani7931,iyanmulyani7931,5,0,5,0,0,0,0,269
lindafitriadewi7590,lindafitriadewi7590,3,0,3,0,0,0,0,269
pegawaifotocopy834,pegawaifotocopy834,34,0,34,0,0,0,0,11
rhintosustono1712,rhintosustono1712,2,0,2,0,0,0,0,269
senimanfleksibel,senimanfleksibel,2,0,2,0,0,0,0,269
AlcantaraVibes,AlcantaraVibes,0,1,1,2,0.666667,0.75,0,41
andriantoni8628,andriantoni8628,10,2,12,1,1,1,0.000001,41
AldiAsida,AldiAsida,0,4,4,1,1,1,0,49
ag121-g2e,ag121-g2e,1,0,1,0,0,0,0,49
vellalouis,vellalouis,1,0,1,0,0,0,0,49
Alien_Serpo,Alien_Serpo,0,7,7,1,1,1,0,81
Rahmat.Hidayatあ,Rahmat.Hidayatあ,1,0,1,0,0,0,0,81
d.f.schanel2242,d.f.schanel2242,1,0,1,0,0,0,0,81
jodikurniawan3732,jodikurniawan3732,1,0,1,0,0,0,0,81
leviharedim,leviharedim,1,0,1,0,0,0,0,81
muhammadrajabhabibi9010,muhammadrajabhabibi9010,2,0,2,0,0,0,0,81
rizkiclothing1818,rizkiclothing1818,1,0,1,0,0,0,0,81
AndhikaSeptianT,AndhikaSeptianT,0,3,3,3,0.514286,0.564815,0,57
aisyahhumaira5081,aisyahhumaira5081,1,0,1,0,0,0,0,57
dedeyusuf223,dedeyusuf223,29,14,43,2,0.888889,0.9375,0.000063,57
kenaryo2879,kenaryo2879,4,0,4,0,0,0,0,57
AndiFav,AndiFav,0,2,2,1,1,1,0,99
AttarRayyan-q1v,AttarRayyan-q1v,1,0,1,0,0,0,0,99
Andika-q2g,Andika-q2g,0,3,3,1,1,1,0,142
allejandroEmanbuzzer²,allejandroEmanbuzzer²,1,0,1,0,0,0,0,142
pandu4977,pandu4977,13,0,13,0,0,0,0,142
Andoel-g4h,Andoel-g4h,2,1,3,0,0,0,0,96
AndraFebrian-h5f,AndraFebrian-h5f,0,3,3,1,1,1,0,14
mahjatinuramalina2759,mahjatinuramalina2759,1,0,1,0,0,0,0,14
AndreKajae-gb9ft,AndreKajae-gb9ft,0,2,2,1,1,1,0,269
Alauddin-2025-graduatedBuzzerrp,Alauddin-2025-graduatedBuzzerrp,1,0,1,0,0,0,0,269
AndriSyukri,AndriSyukri,0,1,1,1,1,1,0,12
updatedemo,updatedemo,1,0,1,0,0,0,0,12
Angga-y2b2n,Angga-y2b2n,0,1,1,1,1,1,0,13
abahadetarogong3412,abahadetarogong3412,2,0,2,0,0,0,0,13
Anginpusakamalam,Anginpusakamalam,0,2,2,1,1,1,0,14
ArdiPradita,ArdiPradita,9,0,9,0,0,0,0,14
sultankimjongun6230justru,sultankimjongun6230justru,3,0,3,0,0,0,0,14
Angler.Shorts,Angler.Shorts,0,1,1,1,1,1,0,41
Iskandar_Khan81,Iskandar_Khan81,10,0,10,0,0,0,0,41
AntiPembodohan,AntiPembodohan,1,1,2,0,0,0,0,15
AnwarSaepul-y4u,AnwarSaepul-y4u,1,1,2,0,0,0,0,16
ArangGames,ArangGames,0,1,1,1,1,1,0,57
AriTuesday,AriTuesday,0,1,1,2,0.666667,0.75,0,17
rudyhermawan2986,rudyhermawan2986,2,2,4,1,1,1,0,17
ArifRahman-7,ArifRahman-7,1,1,2,0,0,0,0,18
Arkanas78,Arkanas78,2,2,4,3,0.5,0.583333,0,61
BuzzBeatStar,BuzzBeatStar,1,3,4,2,0.8,0.875,0,61
Arlianto-me5pu,Arlianto-me5pu,2,3,5,1,1,1,0,19
odov-s5g,odov-s5g,1,1,2,2,0.666667,0.75,0,19
odov-s5gterima,odov-s5gterima,1,0,1,0,0,0,0,19
Asapratama-v4l,Asapratama-v4l,0,1,1,1,1,1,0,20
six69nine-b7,six69nine-b7,1,0,1,0,0,0,0,20
Asep-y5y,Asep-y5y,0,1,1,1,1,1,0,21
ibnurizky9688,ibnurizky9688,3,0,3,0,0,0,0,21
Asepsepsurisep,Asepsepsurisep,0,3,3,1,1,1,0,57
ekapurnamaputra591,ekapurnamaputra591,1,0,1,0,0,0,0,57
Asplanned69,Asplanned69,0,1,1,2,0.555556,0.6,0,22
supriyadialif7301,supriyadialif7301,9,5,14,1,1,1,0.000003,22
AwanAdas,AwanAdas,0,2,2,2,0.75,0.833333,0,142
ahnafadibb,ahnafadibb,1,2,3,1,1,1,0,142
Awesome-and-treesome,Awesome-and-treesome,2,5,7,2,0.833333,0.9,0,49
ridwanridwan2656SANGAT,ridwanridwan2656SANGAT,1,0,1,0,0,0,0,49
BadarJoss,BadarJoss,2,2,4,1,1,1,0,61
BuzzBeatStarmanusia,BuzzBeatStarmanusia,1,0,1,0,0,0,0,61
BanurishmaTirta-x1l,BanurishmaTirta-x1l,0,1,1,1,1,1,0,110
badongkucir,badongkucir,44,0,44,0,0,0,0,110
Barden1.0,Barden1.0,1,1,2,1,1,1,0,14
alakbarwahyu6710,alakbarwahyu6710,47,0,47,0,0,0,0,14
BasriLana,BasriLana,0,3,3,3,0.55,0.621212,0,49
MataMataRakyat734,MataMataRakyat734,3,2,5,1,1,1,0,49
BegitulahManusia,BegitulahManusia,3,9,12,1,1,1,0.000002,14
ahmadnafarin1657,ahmadnafarin1657,2,0,2,0,0,0,0,14
bociIkematianastagfirullah,bociIkematianastagfirullah,1,0,1,0,0,0,0,14
cenghabil9244,cenghabil9244,2,0,2,0,0,0,0,14
davidfebriannatanael9363,davidfebriannatanael9363,1,0,1,0,0,0,0,14
purpurblock7770ANDA,purpurblock7770ANDA,1,0,1,0,0,0,0,14
sarangfilm6925,sarangfilm6925,1,1,2,2,0.533333,0.5625,0,14
sarangfilm6925silahkan,sarangfilm6925silahkan,1,0,1,0,0,0,0,14
Bekugin,Bekugin,0,1,1,1,1,1,0,242
BerlianKerasDariMorioh,BerlianKerasDariMorioh,1,1,2,2,0.571429,0.625,0,22
BlackVold,BlackVold,0,1,1,1,1,1,0,23
m.ikhsanakmal2085,m.ikhsanakmal2085,14,1,15,0,0,0,0,23
Bocilgaming-p8c,Bocilgaming-p8c,0,2,2,2,0.75,0.833333,0,153
Alqoyimofficial,Alqoyimofficial,23,1,24,1,1,1,0.000004,153
khairul0901bajer,khairul0901bajer,1,0,1,0,0,0,0,153
BosMili,BosMili,0,1,1,1,1,1,0,24
bocah.ngawur,bocah.ngawur,2,0,2,0,0,0,0,24
BudiAwan-e2k,BudiAwan-e2k,1,3,4,1,1,1,0,40
ferry,ferry,3,0,3,0,0,0,0,40
Buruhtani-i5m,Buruhtani-i5m,2,4,6,2,0.833333,0.9,0.000001,14
barmaul27,barmaul27,91,2,93,1,1,1,0.000014,25
ButterYyot,ButterYyot,0,1,1,1,1,1,0,26
AdifSetiawan-q7b,AdifSetiawan-q7b,1,0,1,0,0,0,0,26
personalrigs,personalrigs,2,0,2,0,0,0,0,61
Bwacottt,Bwacottt,0,1,1,2,0.6,0.666667,0,14
CHYROSSS,CHYROSSS,0,2,2,2,0.75,0.833333,0,27
rootte4m296,rootte4m296,1,0,1,0,0,0,0,27
silverbullet-x7g,silverbullet-x7g,2,2,4,1,1,1,0,27
CandraHermawan-b7n,CandraHermawan-b7n,4,2,6,1,1,1,0.000001,31
siebenakai3344ada,siebenakai3344ada,1,0,1,0,0,0,0,31
Catdoglovers-n3q,Catdoglovers-n3q,0,1,1,1,1,1,0,21
Channe463,Channe463,0,1,1,1,1,1,0,28
assassinschord,assassinschord,1,0,1,0,0,0,0,28
Cicinat-vt9uw,Cicinat-vt9uw,0,1,1,1,1,1,0,29
finanzia,finanzia,1,0,1,0,0,0,0,29
CigutE,CigutE,0,1,1,1,1,1,0,30
salmanalfis,salmanalfis,3,0,3,0,0,0,0,30
ClashMagic1,ClashMagic1,0,1,1,1,1,1,0,49
EkaGustiwanaOfficial,EkaGustiwanaOfficial,224,0,224,0,0,0,0,49
ClickBanget,ClickBanget,0,2,2,1,1,1,0,144
andikaprayogi6541emang,andikaprayogi6541emang,1,0,1,0,0,0,0,144
zleinade,zleinade,2,0,2,0,0,0,0,144
CoconutTVOfficial,CoconutTVOfficial,0,1,1,1,1,1,0,40
CristiRonaldo71,CristiRonaldo71,0,1,1,2,0.666667,0.75,0,31
D4NEE-d8r,D4NEE-d8r,2,2,4,1,1,1,0,32
aas529g,aas529g,1,0,1,0,0,0,0,32
DIASENREDS,DIASENREDS,1,1,2,0,0,0,0,33
DaniHermantooid,DaniHermantooid,3,7,10,3,0.575,0.644928,0.000007,34
mentari9519,mentari9519,105,0,105,0,0,0,0,34
Della_Kaira,Della_Kaira,0,1,1,1,1,1,0,35
